return me the homepage of PVLDB .|||SELECT homepage FROM journal WHERE name  =  "PVLDB";
return me the homepage of " H. V. Jagadish " .|||SELECT homepage FROM author WHERE name  =  "H. V. Jagadish";
return me the abstract of " Making database systems usable " .|||SELECT abstract FROM publication WHERE title  =  "Making database systems usable";
return me the year of " Making database systems usable "|||SELECT YEAR FROM publication WHERE title  =  "Making database systems usable";
return me the year of " Making database systems usable " .|||SELECT YEAR FROM publication WHERE title  =  "Making database systems usable";
return me the papers after 2000 .|||SELECT title FROM publication WHERE YEAR  >  2000;
return me the homepage of the VLDB conference .|||SELECT homepage FROM conference WHERE name  =  "VLDB";
return me all the keywords .|||SELECT keyword FROM keyword;
return me all the organizations .|||SELECT name FROM organization;
return me all the organizations in " North America " .|||SELECT name FROM organization WHERE continent  =  "North America";
return me the homepage of " University of Michigan " .|||SELECT homepage FROM organization WHERE name  =  "University of Michigan";
return me the number of references of " Making database systems usable " .|||SELECT reference_num FROM publication WHERE title  =  "Making database systems usable";
return me the references of " Making database systems usable " .|||SELECT reference_num FROM publication WHERE title  =  "Making database systems usable";
return me the number of citations of " Making database systems usable " .|||SELECT citation_num FROM publication WHERE title  =  "Making database systems usable";
return me the citations of " Making database systems usable " .|||SELECT citation_num FROM publication WHERE title  =  "Making database systems usable";
return me the paper with more than 200 citations .|||SELECT title FROM publication WHERE citation_num  >  200;
return me the authors who have papers in PVLDB 2010 .|||SELECT t1.name FROM publication AS t4 JOIN journal AS t2 ON t4.jid  =  t2.jid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t2.name  =  "PVLDB" AND t4.year  =  2010;
return me the authors who have papers in PVLDB after 2010 .|||SELECT t1.name FROM publication AS t4 JOIN journal AS t2 ON t4.jid  =  t2.jid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t2.name  =  "PVLDB" AND t4.year  >  2010;
return me the authors who have papers in VLDB conference in 2002 .|||SELECT t1.name FROM publication AS t4 JOIN conference AS t2 ON t4.cid  =  t2.cid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t2.name  =  "VLDB" AND t4.year  =  2002;
return me the authors who have papers in VLDB conference before 2002 .|||SELECT t1.name FROM publication AS t4 JOIN conference AS t2 ON t4.cid  =  t2.cid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t2.name  =  "VLDB" AND t4.year  <  2002;
return me the authors who have papers in VLDB conference before 2002 after 1995 .|||SELECT t1.name FROM publication AS t4 JOIN conference AS t2 ON t4.cid  =  t2.cid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t2.name  =  "VLDB" AND t4.year  <  2002 AND t4.year  >  1995;
return me the area of PVLDB .|||SELECT t3.name FROM DOMAIN AS t3 JOIN domain_journal AS t1 ON t3.did  =  t1.did JOIN journal AS t2 ON t2.jid  =  t1.jid WHERE t2.name  =  "PVLDB";
return me the authors who have papers in PVLDB .|||SELECT t1.name FROM publication AS t4 JOIN journal AS t2 ON t4.jid  =  t2.jid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t2.name  =  "PVLDB";
return me the organization " H. V. Jagadish " is in .|||SELECT t2.name FROM organization AS t2 JOIN author AS t1 ON t2.oid  =  t1.oid WHERE t1.name  =  "H. V. Jagadish";
return me the conferences, which have papers by " H. V. Jagadish " .|||SELECT t2.name FROM publication AS t4 JOIN conference AS t2 ON t4.cid  =  t2.cid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t1.name  =  "H. V. Jagadish";
return me the journals, which have papers by " H. V. Jagadish " .|||SELECT t2.name FROM publication AS t4 JOIN journal AS t2 ON t4.jid  =  t2.jid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t1.name  =  "H. V. Jagadish";
