What year is the movie " The Imitation Game " from ?|||SELECT release_year FROM movie WHERE title  =  "The Imitation Game";
What year was the movie " The Imitation Game " produced|||SELECT release_year FROM movie WHERE title  =  "The Imitation Game";
What year was " Benedict Cumberbatch " born ?|||SELECT birth_year FROM actor WHERE name  =  "Benedict Cumberbatch";
In what year was " Benedict Cumberbatch " born|||SELECT birth_year FROM actor WHERE name  =  "Benedict Cumberbatch";
What is the nationality of the actress " Christoph Waltz " ?|||SELECT nationality FROM actor WHERE name  =  "Christoph Waltz";
What is the nationality of the actor " Christoph Waltz " ?|||SELECT nationality FROM actor WHERE name  =  "Christoph Waltz";
Find all movies produced in 2015|||SELECT title FROM movie WHERE release_year  =  2015;
Find all actors born in " Tehran "|||SELECT name FROM actor WHERE birth_city  =  "Tehran";
Find all actors born in Tehran|||SELECT name FROM actor WHERE birth_city  =  "Tehran";
Which actors were born in Tehran|||SELECT name FROM actor WHERE birth_city  =  "Tehran";
Find all actors who are from Afghanistan|||SELECT name FROM actor WHERE nationality  =  "Afghanistan";
Find all actors from Afghanistan|||SELECT name FROM actor WHERE nationality  =  "Afghanistan";
Give me the name of all the actors from Afghanistan|||SELECT name FROM actor WHERE nationality  =  "Afghanistan";
Find all actors who were born in 1984|||SELECT name FROM actor WHERE birth_year  =  1984;
When was " Kevin Spacey " born ?|||SELECT birth_year FROM actor WHERE name  =  "actor_name0";
In what year was " Kevin Spacey " born ?|||SELECT birth_year FROM actor WHERE name  =  "actor_name0";
Where is the birth place of " Kevin Spacey "|||SELECT birth_city FROM director WHERE name  =  "director_name0";
In what city was " Kevin Spacey " born ?|||SELECT birth_city FROM director WHERE name  =  "director_name0";
What is the nationality of " Kevin Spacey " ?|||SELECT nationality FROM director WHERE name  =  "director_name0";
How much was the budget of " Finding Nemo "|||SELECT budget FROM movie WHERE title  =  "Finding Nemo";
Find all movies directed by " Steven Spielberg " after 2006|||SELECT t3.title FROM director AS t2 JOIN directed_by AS t1 ON t2.did  =  t1.did JOIN movie AS t3 ON t3.mid  =  t1.msid WHERE t2.name  =  "Steven Spielberg" AND t3.release_year  >  2006;
Who is the director of the movie " James Bond " ?|||SELECT t2.name FROM director AS t2 JOIN directed_by AS t1 ON t2.did  =  t1.did JOIN movie AS t3 ON t3.mid  =  t1.msid WHERE t3.title  =  "James Bond";
